,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,Total,Debt/Income,EMI
0,Male,No,0,Graduate,No,1.0,Urban,1,5849.0,21.884082749187897,12.5568
1,Male,Yes,1,Graduate,No,1.0,Rural,0,6091.0,21.0146117222131,12.5568
2,Male,Yes,0,Graduate,Yes,1.0,Urban,1,3000.0,22.0,6.4746
3,Male,Yes,0,Not Graduate,No,1.0,Urban,1,4941.0,24.286581663630844,11.772
4,Male,No,0,Graduate,No,1.0,Urban,1,6000.0,23.5,13.8321
5,Male,Yes,2,Graduate,Yes,1.0,Urban,1,9613.0,27.77488817226672,26.1927
6,Male,Yes,0,Not Graduate,No,1.0,Urban,1,3849.0,24.68173551571837,9.3195
7,Male,Yes,3,Graduate,No,0.0,Semiurban,0,5540.0,28.51985559566787,15.4998
8,Male,Yes,2,Graduate,No,1.0,Urban,1,5532.0,30.36876355748373,16.4808
9,Male,Yes,1,Graduate,No,1.0,Semiurban,0,23809.0,14.658322483094627,34.2369
10,Male,Yes,2,Graduate,No,1.0,Urban,1,3900.0,17.94871794871795,6.867000000000001
11,Male,Yes,2,Graduate,No,1.0,Urban,1,4340.0,25.11520737327189,10.692900000000002
12,Male,Yes,2,Graduate,No,1.0,Urban,1,11179.0,17.890687896949636,19.62
13,Male,No,0,Graduate,No,1.0,Rural,0,4693.0,24.291497975708502,11.1834
14,Male,Yes,2,Graduate,No,1.0,Urban,1,2385.0,7.127882599580713,1.6677000000000002
15,Male,No,0,Graduate,No,1.0,Urban,1,4950.0,25.252525252525253,12.262500000000001
16,Male,No,1,Not Graduate,No,1.0,Urban,1,3596.0,27.808676307007786,9.810000000000002
17,Female,No,0,Graduate,No,0.0,Urban,0,3510.0,21.65242165242165,7.4556000000000004
18,Male,Yes,0,Not Graduate,No,1.0,Rural,0,4887.0,27.215060364231636,13.047299999999998
19,Male,Yes,0,Graduate,No,1.0,Urban,1,6100.0,18.852459016393443,11.2815
20,Male,Yes,0,Not Graduate,No,0.0,Urban,0,7660.0,13.577023498694517,10.202399999999999
21,Male,Yes,1,Graduate,No,1.0,Urban,1,11580.0,27.202072538860104,30.901500000000002
22,Male,Yes,0,Not Graduate,No,0.0,Semiurban,0,4511.0,25.71491908667701,11.3796
23,Male,Yes,2,Not Graduate,No,0.0,Rural,0,5282.0,21.204089360090876,10.987200000000001
24,Male,Yes,1,Graduate,No,1.0,Semiurban,0,6642.0,22.73411623005119,14.8131
25,Male,Yes,0,Graduate,Yes,1.0,Semiurban,1,9560.0,19.97907949790795,18.737099999999998
26,Male,Yes,0,Graduate,No,1.0,Semiurban,1,5052.0,24.14885193982581,11.968200000000003
27,Male,Yes,2,Not Graduate,No,1.0,Urban,1,5266.0,20.888720091150777,10.791000000000002
28,Male,No,0,Not Graduate,No,1.0,Urban,0,1442.0,24.271844660194176,3.4335000000000004
29,Female,No,2,Graduate,No,1.0,Semiurban,1,5833.0,20.5726041488085,11.772
30,Male,Yes,1,Graduate,No,1.0,Urban,0,7535.0,26.675514266755144,19.7181
31,Male,No,0,Graduate,No,1.0,Urban,0,3167.0,23.365961477739184,7.2594
32,Male,No,1,Graduate,Yes,1.0,Rural,0,4692.0,22.59164535379369,10.3986
33,Male,Yes,0,Graduate,No,1.0,Semiurban,1,5167.0,22.063092703696537,11.1834
34,Male,No,3,Graduate,No,1.0,Rural,0,15500.0,20.64516129032258,31.392
35,Male,Yes,0,Graduate,No,1.0,Urban,1,4342.0,29.47950253339475,12.5568
36,Male,Yes,0,Graduate,No,0.0,Urban,0,3158.0,31.665611146295124,9.81
37,Female,Yes,0,Graduate,No,1.0,Semiurban,1,5126.0,28.092079594225517,14.1264
38,Male,No,0,Graduate,No,1.0,Urban,1,11376.0,16.17440225035162,18.0504
39,Male,No,0,Not Graduate,No,1.0,Semiurban,1,5416.0,20.31019202363368,10.791000000000002
40,Male,No,0,Graduate,No,1.0,Urban,0,3600.0,22.22222222222222,7.848
41,Male,No,0,Graduate,No,1.0,Urban,1,3013.0,15.599070693660803,4.6107
42,Male,Yes,0,Graduate,No,1.0,Urban,1,2400.0,31.25,7.3575
43,Male,Yes,0,Graduate,No,1.0,Semiurban,1,6277.0,21.347777600764697,13.145399999999999
44,Male,Yes,0,Not Graduate,Yes,1.0,Urban,1,4695.0,20.447284345047922,9.4176
45,Female,No,0,Graduate,No,1.0,Urban,1,3410.0,25.806451612903224,8.6328
46,Male,Yes,1,Graduate,No,1.0,Urban,1,5649.0,7.788989201628607,4.3164
47,Male,Yes,0,Graduate,No,1.0,Urban,1,5821.0,24.738017522762412,14.1264
